county_fips,PCT_poverty_rate_2015,PCT_poverty_rate_2015_children
21141,15.5,24.3
21143,16.9,22.4
21145,15.2,24.6
21147,41.5,51.9
21149,17.3,26.0
21151,18.2,20.1
21153,32.6,45.1
21155,20.5,27.6
21157,12.1,19.5
21159,40.0,45.3
21161,19.5,29.3
21163,13.5,20.3
21165,26.8,43.5
21167,15.1,21.9
21169,22.9,38.4
21171,25.3,37.8
21173,21.5,29.9
21175,31.3,40.9
21177,19.4,26.2
21179,12.5,18.8
21181,21.5,34.3
21183,19.9,27.5
21185,6.2,6.7
21187,16.9,25.4
21189,42.4,61.6
21191,16.4,23.5
21193,28.5,37.2
21195,25.0,32.0
21197,26.0,39.3
21199,23.0,31.7
21201,22.5,36.7
21203,22.9,32.4
21205,27.2,32.4
21207,24.6,35.8
21209,13.1,18.1
21211,11.5,17.1
21213,16.0,26.2
21215,9.0,11.9
21217,23.0,33.8
21219,19.3,28.1
21221,15.1,26.5
21223,15.7,22.3
21225,20.7,20.7
21227,18.0,22.9
21229,17.1,23.6
21231,28.0,40.3
21233,18.1,24.9
21235,29.2,38.9
21237,30.7,50.4
21239,11.6,17.0
22001,23.7,32.5
22003,20.4,24.3
22005,10.7,14.8
22007,16.8,25.2
22009,25.3,34.7
22011,19.5,24.8
22013,25.4,37.4
22015,14.5,20.4
22017,22.2,34.8
22019,17.5,26.0
22021,22.9,32.8
22023,12.7,17.6
22025,27.2,37.0
22027,30.9,37.1
22029,29.5,41.6
22031,24.9,38.7
22033,18.5,26.5
22035,43.5,56.1
22037,21.8,27.6
22039,25.7,32.1
22041,25.4,40.7
22043,21.3,28.1
22045,20.8,32.7
22047,22.3,30.7
22049,21.1,30.8
22051,16.3,27.1
22053,20.3,27.2
22055,17.0,20.7
22057,14.1,20.0
22059,18.5,21.8
22061,25.5,29.8
22063,13.5,17.6
22065,37.6,52.7
22067,31.1,50.0
22069,29.6,36.2
22071,24.0,38.2
22073,23.0,33.1
22075,17.3,19.7
22077,19.3,29.2
22079,21.6,31.7
22081,25.7,37.9
22083,24.7,37.3
22085,18.1,25.9
22087,20.4,30.3
22089,11.8,17.4
22091,19.9,34.0
22093,18.3,26.6
22095,20.5,29.9
22097,27.0,37.2
22099,18.3,27.9
22101,19.7,28.3
22103,12.5,17.3
22105,24.0,35.0
22107,35.1,52.6
22109,20.1,24.9
22111,21.9,34.3
22113,18.1,23.6
22115,17.5,23.3
22117,26.2,36.9
22119,25.9,40.0
22121,15.1,22.1
22123,22.7,32.1
22125,23.9,21.7
22127,24.0,30.4
23001,15.0,21.8
23003,18.4,21.8
23005,10.7,12.2
23007,14.6,21.4
23009,11.5,16.2
23011,13.1,18.0
23013,11.4,17.9
23015,14.1,20.2
23017,17.0,25.6
23019,17.1,19.1
23021,19.1,30.5
23023,11.2,17.2
23025,18.7,25.9
23027,14.4,21.3
23029,18.8,28.8
